Date,Open,High,Low,Close
8/30/2021,"4,513.76","4,537.36","4,513.76","4,528.79"
8/27/2021,"4,474.10","4,513.33","4,474.10","4,509.37"
8/26/2021,"4,493.75","4,495.90","4,468.99","4,470.00"
8/25/2021,"4,490.45","4,501.71","4,485.66","4,496.19"
8/24/2021,"4,484.40","4,492.81","4,482.28","4,486.23"
8/23/2021,"4,450.29","4,489.88","4,450.29","4,479.53"
8/20/2021,"4,410.56","4,444.35","4,406.80","4,441.67"
8/19/2021,"4,382.44","4,418.61","4,367.73","4,405.80"
8/18/2021,"4,440.94","4,454.32","4,397.59","4,400.27"
8/17/2021,"4,462.12","4,462.12","4,417.83","4,448.08"
8/16/2021,"4,461.65","4,480.26","4,437.66","4,479.71"
8/13/2021,"4,464.84","4,468.37","4,460.82","4,468.00"
8/12/2021,"4,446.08","4,461.77","4,435.96","4,460.83"
8/11/2021,"4,442.18","4,449.44","4,436.42","4,447.70"
8/10/2021,"4,435.79","4,445.21","4,430.03","4,436.75"
8/9/2021,"4,437.77","4,439.39","4,424.74","4,432.35"
8/6/2021,"4,429.07","4,440.82","4,429.07","4,436.52"
8/5/2021,"4,408.86","4,429.76","4,408.86","4,429.10"
8/4/2021,"4,415.95","4,416.17","4,400.23","4,402.66"
8/3/2021,"4,392.74","4,423.79","4,373.00","4,423.15"
8/2/2021,"4,406.86","4,422.18","4,384.81","4,387.16"
7/30/2021,"4,395.12","4,412.25","4,389.65","4,395.26"
7/29/2021,"4,403.59","4,429.97","4,403.59","4,419.15"
7/28/2021,"4,402.95","4,415.47","4,387.01","4,400.64"
7/27/2021,"4,416.38","4,416.38","4,372.51","4,401.46"
7/26/2021,"4,409.58","4,422.73","4,405.45","4,422.30"
7/23/2021,"4,381.20","4,415.18","4,381.20","4,411.79"
7/22/2021,"4,361.27","4,369.87","4,350.06","4,367.48"
7/21/2021,"4,331.13","4,359.70","4,331.13","4,358.69"
7/20/2021,"4,265.11","4,336.84","4,262.05","4,323.06"
7/19/2021,"4,296.40","4,296.40","4,233.13","4,258.49"
7/16/2021,"4,367.43","4,375.09","4,322.53","4,327.16"
7/15/2021,"4,369.02","4,369.02","4,340.70","4,360.03"
7/14/2021,"4,380.11","4,393.68","4,362.36","4,374.30"
7/13/2021,"4,381.07","4,392.37","4,366.92","4,369.21"
7/12/2021,"4,372.41","4,386.68","4,364.03","4,384.63"
7/9/2021,"4,329.38","4,371.60","4,329.38","4,369.55"
7/8/2021,"4,321.07","4,330.88","4,289.37","4,320.82"
7/7/2021,"4,351.01","4,361.88","4,329.79","4,358.13"
7/6/2021,"4,356.46","4,356.46","4,314.37","4,343.54"
7/2/2021,"4,326.60","4,355.43","4,326.60","4,352.34"
7/1/2021,"4,300.73","4,320.66","4,300.73","4,319.94"
6/30/2021,"4,290.65","4,302.43","4,287.96","4,297.50"
6/29/2021,"4,293.21","4,300.52","4,287.04","4,291.80"
6/28/2021,"4,284.90","4,292.14","4,274.67","4,290.61"
6/25/2021,"4,274.45","4,286.12","4,271.16","4,280.70"
6/24/2021,"4,256.97","4,271.28","4,256.97","4,266.49"
6/23/2021,"4,249.27","4,256.60","4,241.43","4,241.84"
6/22/2021,"4,224.61","4,255.84","4,217.27","4,246.44"
6/21/2021,"4,173.40","4,226.24","4,173.40","4,224.79"
6/18/2021,"4,204.78","4,204.78","4,164.40","4,166.45"
6/17/2021,"4,220.37","4,232.29","4,196.05","4,221.86"
6/16/2021,"4,248.87","4,251.89","4,202.45","4,223.70"
6/15/2021,"4,255.28","4,257.16","4,238.35","4,246.59"
6/14/2021,"4,248.31","4,255.59","4,234.07","4,255.15"
6/11/2021,"4,242.90","4,248.38","4,232.25","4,247.44"
6/10/2021,"4,228.56","4,249.74","4,220.34","4,239.18"
6/9/2021,"4,232.99","4,237.09","4,218.74","4,219.55"
6/8/2021,"4,233.81","4,236.74","4,208.41","4,227.26"
6/7/2021,"4,229.34","4,232.34","4,215.66","4,226.52"
6/4/2021,"4,206.05","4,233.45","4,206.05","4,229.89"
6/3/2021,"4,191.43","4,204.39","4,167.93","4,192.85"
6/2/2021,"4,206.82","4,217.37","4,198.27","4,208.12"
6/1/2021,"4,216.52","4,234.12","4,197.59","4,202.04"
5/28/2021,"4,210.77","4,218.36","4,203.57","4,204.11"
5/27/2021,"4,201.94","4,213.38","4,197.78","4,200.88"
5/26/2021,"4,191.59","4,202.61","4,184.11","4,195.99"
5/25/2021,"4,205.94","4,213.42","4,182.52","4,188.13"
5/24/2021,"4,170.16","4,209.52","4,170.16","4,197.05"
5/21/2021,"4,168.61","4,188.72","4,151.72","4,155.86"
5/20/2021,"4,121.97","4,172.80","4,121.97","4,159.12"
5/19/2021,"4,098.45","4,116.93","4,061.41","4,115.68"
5/18/2021,"4,165.94","4,169.15","4,125.99","4,127.83"
5/17/2021,"4,169.92","4,171.92","4,142.69","4,163.29"
5/14/2021,"4,129.58","4,183.13","4,129.58","4,173.85"
5/13/2021,"4,074.99","4,131.58","4,074.99","4,112.50"
5/12/2021,"4,130.55","4,134.73","4,056.88","4,063.04"
5/11/2021,"4,150.34","4,162.04","4,111.53","4,152.10"
5/10/2021,"4,228.29","4,236.39","4,188.13","4,188.43"
5/7/2021,"4,210.34","4,238.04","4,201.64","4,232.60"
5/6/2021,"4,169.14","4,202.70","4,147.33","4,201.62"
5/5/2021,"4,177.06","4,187.72","4,160.94","4,167.59"
5/4/2021,"4,179.04","4,179.04","4,128.59","4,164.66"
5/3/2021,"4,191.98","4,209.39","4,188.03","4,192.66"
4/30/2021,"4,198.10","4,198.10","4,174.85","4,181.17"
4/29/2021,"4,206.14","4,218.78","4,176.81","4,211.47"
4/28/2021,"4,185.14","4,201.53","4,181.78","4,183.18"
4/27/2021,"4,188.25","4,193.35","4,176.22","4,186.72"
4/26/2021,"4,185.03","4,194.19","4,182.36","4,187.62"
4/23/2021,"4,138.78","4,194.17","4,138.78","4,180.17"
4/22/2021,"4,170.46","4,179.57","4,123.69","4,134.98"
4/21/2021,"4,128.42","4,175.02","4,126.35","4,173.42"
4/20/2021,"4,159.18","4,159.18","4,118.38","4,134.94"
4/19/2021,"4,179.80","4,180.81","4,150.47","4,163.26"
4/16/2021,"4,174.14","4,191.31","4,170.75","4,185.47"
4/15/2021,"4,139.76","4,173.49","4,139.76","4,170.42"
4/14/2021,"4,141.58","4,151.69","4,120.87","4,124.66"
4/13/2021,"4,130.10","4,148.00","4,124.43","4,141.59"
4/12/2021,"4,124.71","4,131.76","4,114.82","4,127.99"
4/9/2021,"4,096.11","4,129.48","4,095.51","4,128.80"
4/8/2021,"4,089.95","4,098.19","4,082.54","4,097.17"
4/7/2021,"4,074.29","4,083.13","4,068.31","4,079.95"
4/6/2021,"4,075.57","4,086.23","4,068.14","4,073.94"
4/5/2021,"4,034.44","4,083.42","4,034.44","4,077.91"
4/1/2021,"3,992.78","4,020.63","3,992.78","4,019.87"
3/31/2021,"3,967.25","3,994.41","3,966.98","3,972.89"
3/30/2021,"3,963.34","3,968.01","3,944.35","3,958.55"
3/29/2021,"3,969.31","3,981.83","3,943.25","3,971.09"
3/26/2021,"3,917.12","3,978.19","3,917.12","3,974.54"
3/25/2021,"3,879.34","3,919.54","3,853.50","3,909.52"
3/24/2021,"3,919.93","3,942.08","3,889.07","3,889.14"
3/23/2021,"3,937.60","3,949.13","3,901.57","3,910.52"
3/22/2021,"3,916.48","3,955.31","3,914.16","3,940.59"
3/19/2021,"3,913.14","3,930.12","3,886.75","3,913.10"
3/18/2021,"3,953.50","3,969.62","3,910.86","3,915.46"
3/17/2021,"3,949.57","3,983.87","3,935.74","3,974.12"
3/16/2021,"3,973.59","3,981.04","3,953.44","3,962.71"
3/15/2021,"3,942.96","3,970.08","3,923.54","3,968.94"
3/12/2021,"3,924.52","3,944.99","3,915.21","3,943.34"
3/11/2021,"3,915.54","3,960.27","3,915.54","3,939.34"
3/10/2021,"3,891.99","3,917.35","3,885.73","3,898.81"
3/9/2021,"3,851.93","3,903.76","3,851.93","3,875.44"
3/8/2021,"3,844.39","3,881.06","3,819.25","3,821.35"
3/5/2021,"3,793.58","3,851.69","3,730.19","3,841.94"
3/4/2021,"3,818.53","3,843.67","3,723.34","3,768.47"
3/3/2021,"3,863.99","3,874.47","3,818.86","3,819.72"
3/2/2021,"3,903.64","3,906.41","3,868.57","3,870.29"
3/1/2021,"3,842.51","3,914.50","3,842.51","3,901.82"
2/26/2021,"3,839.66","3,861.08","3,789.54","3,811.15"
2/25/2021,"3,915.80","3,925.02","3,814.04","3,829.34"
2/24/2021,"3,873.71","3,928.65","3,859.60","3,925.43"
2/23/2021,"3,857.07","3,895.98","3,805.59","3,881.37"
